2025-12-25 11:08:43 [INFO    ]: Starting TShark worker. (main.py:112)
2025-12-25 11:08:43 [INFO    ]: TShark process started successfully. (main.py:121)
2025-12-25 11:08:44 [INFO    ]: Flushing buffers... (main.py:90)
2025-12-25 11:08:45 [INFO    ]: Buffers flushed successfully. (main.py:97)
2025-12-25 11:08:45 [INFO    ]:          92033 function calls (91179 primitive calls) in 0.498 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      234    0.000    0.000    0.001    0.000 /usr/lib/python3.13/contextlib.py:481(_exit_wrapper)
      417    0.000    0.000    0.001    0.000 /usr/lib/python3.13/threading.py:306(__exit__)
       11    0.000    0.000    0.001    0.000 /usr/lib/python3.13/tkinter/ttk.py:32(_format_optvalue)
      117    0.001    0.000    0.001    0.000 /usr/lib/python3.13/selectors.py:213(__init__)
      117    0.001    0.000    0.001    0.000 /home/kali/.vscode/extensions/ms-python.debugpy-2025.18.0/bundled/libs/debugpy/_vendored/pydevd/_pydevd_bundle/pydevd_utils.py:248(notify_about_gevent_if_needed)
      998    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
        2    0.000    0.000    0.001    0.000 /usr/lib/python3.13/logging/__init__.py:1251(emit)
       11    0.000    0.000    0.001    0.000 /usr/lib/python3.13/tkinter/__init__.py:61(_join)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.13/tkinter/__init__.py:2115(yview_moveto)
      117    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
        3    0.001    0.000    0.001    0.000 {method 'execute' of 'sqlite3.Cursor' objects}
      117    0.001    0.000    0.001    0.000 /usr/lib/python3.13/warnings.py:509(__exit__)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3.13/logging/__init__.py:1131(flush)
      358    0.000    0.000    0.001    0.000 /usr/lib/python3.13/selectors.py:66(__len__)
      119    0.000    0.000    0.001    0.000 /usr/lib/python3.13/posixpath.py:166(basename)
        4    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      117    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      835    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
       64    0.000    0.000    0.000    0.000 {built-in method time.strftime}
      117    0.000    0.000    0.000    0.000 {built-in method posix.waitstatus_to_exitcode}
